sales_person,country,product,date,boxes_shipped,amount,currency,mid_rate,total_amount_th
Jehu Rudeforth,UK,Mint Chip Choco,2022-01-04,180,5320.0,GBP,42.0265,223580.97999999998
Van Tuxwell,India,85% Dark Bars,2022-08-01,94,7896.0,INR,0.3442,2717.8032
Gigi Bohling,India,Peanut Butter Cubes,2022-07-07,91,4501.0,INR,0.3442,1549.2442
Jan Morforth,Australia,Peanut Butter Cubes,2022-04-27,342,12726.0,AUD,21.2763,270762.1938
Jehu Rudeforth,UK,Peanut Butter Cubes,2022-02-24,184,13685.0,GBP,42.0265,575132.6525
Van Tuxwell,India,Smooth Sliky Salty,2022-06-06,38,5376.0,INR,0.3442,1850.4192
Oby Sorrel,UK,99% Dark & Pure,2022-01-25,176,13685.0,GBP,42.0265,575132.6525
Gunar Cockshoot,Australia,After Nines,2022-03-24,73,3080.0,AUD,21.2763,65531.004
Jehu Rudeforth,New Zealand,50% Dark Bites,2022-04-20,59,3990.0,AUD,21.2763,84892.43699999999
Brien Boise,Australia,99% Dark & Pure,2022-07-04,102,2835.0,AUD,21.2763,60318.3105
Rafaelita Blaksland,UK,Smooth Sliky Salty,2022-01-13,62,4704.0,GBP,42.0265,197692.656
Barr Faughny,USA,Orange Choco,2022-03-10,11,3703.0,USD,31.1547,115365.8541
Mallorie Waber,Canada,Eclairs,2022-01-13,286,1442.0,CAD,22.5593,32530.5106
Karlen McCaffrey,New Zealand,Drinking Coco,2022-07-28,156,168.0,AUD,21.2763,3574.4184
Marney O'Breen,New Zealand,Peanut Butter Cubes,2022-08-03,173,8379.0,AUD,21.2763,178274.1177
Beverie Moffet,Australia,Organic Choco Syrup,2022-01-26,356,6790.0,AUD,21.2763,144466.077
Van Tuxwell,Canada,Organic Choco Syrup,2022-02-14,42,4067.0,CAD,22.5593,91748.6731
Roddy Speechley,USA,Smooth Sliky Salty,2022-04-05,140,3017.0,USD,31.1547,93993.72989999999
Beverie Moffet,Canada,Milk Bars,2022-02-16,250,8799.0,CAD,22.5593,198499.2807
Curtice Advani,UK,85% Dark Bars,2022-06-08,172,1085.0,GBP,42.0265,45598.752499999995
Brien Boise,Australia,Eclairs,2022-06-27,88,6888.0,AUD,21.2763,146551.1544
Gunar Cockshoot,USA,Spicy Special Slims,2022-02-17,157,1267.0,USD,31.1547,39473.0049
Marney O'Breen,USA,After Nines,2022-05-30,163,4753.0,USD,31.1547,148078.2891
Husein Augar,UK,Drinking Coco,2022-03-14,113,3003.0,GBP,42.0265,126205.57949999999
Kaine Padly,Australia,Eclairs,2022-02-28,115,7672.0,AUD,21.2763,163231.7736
Karlen McCaffrey,India,Fruit & Nut Bars,2022-01-26,321,168.0,INR,0.3442,57.8256
Roddy Speechley,Canada,Spicy Special Slims,2022-02-09,186,1652.0,CAD,22.5593,37267.9636
Husein Augar,USA,Eclairs,2022-07-07,112,4025.0,USD,31.1547,125397.6675
Dennison Crosswaite,New Zealand,White Choc,2022-07-05,151,9492.0,AUD,21.2763,201954.6396
Dennison Crosswaite,New Zealand,Manuka Honey Choco,2022-06-15,301,5061.0,AUD,21.2763,107679.35429999999
Van Tuxwell,New Zealand,85% Dark Bars,2022-05-24,121,1722.0,AUD,21.2763,36637.7886
Rafaelita Blaksland,UK,99% Dark & Pure,2022-06-29,150,12446.0,GBP,42.0265,523061.81899999996
Wilone O'Kielt,Australia,Manuka Honey Choco,2022-05-11,94,4284.0,AUD,21.2763,91147.66919999999
Karlen McCaffrey,UK,Almond Choco,2022-06-30,133,6839.0,GBP,42.0265,287419.2335
Andria Kimpton,Canada,After Nines,2022-05-11,70,2163.0,CAD,22.5593,48795.7659
Roddy Speechley,USA,Manuka Honey Choco,2022-07-22,315,9583.0,USD,31.1547,298555.4901
Andria Kimpton,UK,50% Dark Bites,2022-08-24,314,2653.0,GBP,42.0265,111496.3045
Kelci Walkden,New Zealand,After Nines,2022-07-07,72,147.0,AUD,21.2763,3127.6160999999997
Camilla Castle,Australia,85% Dark Bars,2022-05-19,14,3654.0,AUD,21.2763,77743.6002
Karlen McCaffrey,India,Manuka Honey Choco,2022-07-04,581,2443.0,INR,0.3442,840.8806
Kelci Walkden,USA,After Nines,2022-06-02,16,938.0,USD,31.1547,29223.1086
Karlen McCaffrey,USA,Raspberry Choco,2022-04-15,354,14749.0,USD,31.1547,459500.6703
Mallorie Waber,Canada,Choco Coated Almonds,2022-07-11,241,4781.0,CAD,22.5593,107856.0133
Andria Kimpton,India,Spicy Special Slims,2022-02-23,142,6307.0,INR,0.3442,2170.8694
Madelene Upcott,Canada,Almond Choco,2022-08-22,102,7602.0,CAD,22.5593,171495.7986
Kaine Padly,USA,Peanut Butter Cubes,2022-02-16,188,6790.0,USD,31.1547,211540.413
Van Tuxwell,USA,50% Dark Bites,2022-01-13,160,9737.0,USD,31.1547,303353.3139
Curtice Advani,Australia,Milk Bars,2022-02-14,18,6979.0,AUD,21.2763,148487.2977
Roddy Speechley,India,Eclairs,2022-06-10,303,4382.0,INR,0.3442,1508.2844
Curtice Advani,India,Fruit & Nut Bars,2022-07-07,176,5243.0,INR,0.3442,1804.6406
Curtice Advani,Canada,Almond Choco,2022-03-24,70,4865.0,CAD,22.5593,109750.9945
Brien Boise,Australia,Fruit & Nut Bars,2022-06-06,23,8575.0,AUD,21.2763,182444.2725
Dotty Strutley,Australia,Drinking Coco,2022-07-19,135,91.0,AUD,21.2763,1936.1433
Beverie Moffet,USA,Raspberry Choco,2022-04-19,83,14798.0,USD,31.1547,461027.25059999997
Marney O'Breen,India,85% Dark Bars,2022-07-19,179,2205.0,INR,0.3442,758.961
Jehu Rudeforth,Canada,Drinking Coco,2022-07-15,24,441.0,CAD,22.5593,9948.6513
Ches Bonnell,New Zealand,Spicy Special Slims,2022-02-14,18,3556.0,AUD,21.2763,75658.52279999999
Brien Boise,Canada,99% Dark & Pure,2022-05-18,416,16793.0,CAD,22.5593,378838.3249
Barr Faughny,Australia,Fruit & Nut Bars,2022-06-30,55,15421.0,AUD,21.2763,328101.8223
Andria Kimpton,Australia,50% Dark Bites,2022-06-02,227,4438.0,AUD,21.2763,94424.2194
Andria Kimpton,Australia,Drinking Coco,2022-06-28,48,1603.0,AUD,21.2763,34105.9089
Marney O'Breen,Australia,Organic Choco Syrup,2022-05-16,174,273.0,AUD,21.2763,5808.4299
Kelci Walkden,Canada,Baker's Choco Chips,2022-05-26,302,3073.0,CAD,22.5593,69324.7289
Karlen McCaffrey,India,Almond Choco,2022-07-06,149,6090.0,INR,0.3442,2096.178
Oby Sorrel,India,99% Dark & Pure,2022-05-27,11,10255.0,INR,0.3442,3529.771
Wilone O'Kielt,Australia,Caramel Stuffed Bars,2022-04-14,11,2030.0,AUD,21.2763,43190.888999999996
Van Tuxwell,Australia,Organic Choco Syrup,2022-08-10,14,19453.0,AUD,21.2763,413887.8639
Camilla Castle,India,50% Dark Bites,2022-07-04,411,9275.0,INR,0.3442,3192.455
Oby Sorrel,India,Organic Choco Syrup,2022-07-08,56,6181.0,INR,0.3442,2127.5002
Jan Morforth,USA,Peanut Butter Cubes,2022-07-22,102,9037.0,USD,31.1547,281545.0239
Gigi Bohling,USA,Choco Coated Almonds,2022-03-02,103,12313.0,USD,31.1547,383607.8211
Gigi Bohling,UK,Almond Choco,2022-01-10,9,5642.0,GBP,42.0265,237113.513
Jehu Rudeforth,New Zealand,White Choc,2022-03-11,241,2800.0,AUD,21.2763,59573.64
Andria Kimpton,New Zealand,Peanut Butter Cubes,2022-06-20,265,959.0,AUD,21.2763,20403.9717
Van Tuxwell,UK,Organic Choco Syrup,2022-08-26,214,2002.0,GBP,42.0265,84137.053
Roddy Speechley,Canada,Milk Bars,2022-07-13,32,609.0,CAD,22.5593,13738.6137
Camilla Castle,USA,Spicy Special Slims,2022-02-11,244,1274.0,USD,31.1547,39691.0878
Marney O'Breen,USA,Orange Choco,2022-01-27,181,7595.0,USD,31.1547,236619.9465
Van Tuxwell,UK,99% Dark & Pure,2022-01-31,137,4725.0,GBP,42.0265,198575.2125
Camilla Castle,USA,White Choc,2022-08-18,24,9681.0,USD,31.1547,301608.6507
Andria Kimpton,USA,Raspberry Choco,2022-06-30,21,14504.0,USD,31.1547,451867.76879999996
Dotty Strutley,Australia,Fruit & Nut Bars,2022-08-23,311,280.0,AUD,21.2763,5957.364
Brien Boise,New Zealand,Mint Chip Choco,2022-08-01,181,63.0,AUD,21.2763,1340.4069
Roddy Speechley,New Zealand,After Nines,2022-05-25,10,8001.0,AUD,21.2763,170231.6763
Roddy Speechley,Canada,Organic Choco Syrup,2022-01-10,82,4032.0,CAD,22.5593,90959.09760000001
Dennison Crosswaite,Australia,70% Dark Bites,2022-02-07,108,5859.0,AUD,21.2763,124657.84169999999
Karlen McCaffrey,USA,Orange Choco,2022-05-12,401,11095.0,USD,31.1547,345661.3965
Madelene Upcott,Australia,Spicy Special Slims,2022-03-07,408,7182.0,AUD,21.2763,152806.3866
Dennison Crosswaite,Australia,85% Dark Bars,2022-04-05,420,6881.0,AUD,21.2763,146402.2203
Andria Kimpton,Canada,Caramel Stuffed Bars,2022-01-03,348,7154.0,CAD,22.5593,161389.2322
Dennison Crosswaite,UK,Eclairs,2022-03-24,270,6188.0,GBP,42.0265,260059.982
Madelene Upcott,India,Raspberry Choco,2022-07-07,9,4221.0,INR,0.3442,1452.8682000000001
Van Tuxwell,USA,After Nines,2022-07-26,264,630.0,USD,31.1547,19627.461
Wilone O'Kielt,Australia,Organic Choco Syrup,2022-07-07,111,1743.0,AUD,21.2763,37084.590899999996
Karlen McCaffrey,Canada,50% Dark Bites,2022-07-15,65,2919.0,CAD,22.5593,65850.5967
Roddy Speechley,New Zealand,Orange Choco,2022-04-01,97,49.0,AUD,21.2763,1042.5387
Beverie Moffet,Australia,Eclairs,2022-06-20,6,1827.0,AUD,21.2763,38871.8001
Kelci Walkden,UK,Fruit & Nut Bars,2022-06-29,482,13006.0,GBP,42.0265,546596.659
Marney O'Breen,USA,50% Dark Bites,2022-06-15,106,1064.0,USD,31.1547,33148.6008
Husein Augar,USA,After Nines,2022-04-08,180,11571.0,USD,31.1547,360491.03369999997
Dennison Crosswaite,Australia,Raspberry Choco,2022-03-14,31,5740.0,AUD,21.2763,122125.962
Andria Kimpton,USA,Fruit & Nut Bars,2022-07-15,359,1456.0,USD,31.1547,45361.2432
Kelci Walkden,India,Eclairs,2022-04-19,80,5334.0,INR,0.3442,1835.9628
Marney O'Breen,USA,99% Dark & Pure,2022-03-28,296,4151.0,USD,31.1547,129323.15969999999
Brien Boise,Canada,Spicy Special Slims,2022-03-04,101,8106.0,CAD,22.5593,182865.6858
Karlen McCaffrey,New Zealand,70% Dark Bites,2022-08-02,40,126.0,AUD,21.2763,2680.8138
Husein Augar,UK,Spicy Special Slims,2022-08-25,42,4697.0,GBP,42.0265,197398.4705
Marney O'Breen,USA,Almond Choco,2022-02-25,167,7798.0,USD,31.1547,242944.35059999998
Kelci Walkden,India,Orange Choco,2022-06-07,138,9408.0,INR,0.3442,3238.2336
Jan Morforth,India,Spicy Special Slims,2022-04-12,520,1939.0,INR,0.3442,667.4038
Ches Bonnell,India,Spicy Special Slims,2022-07-06,94,10906.0,INR,0.3442,3753.8452
Kelci Walkden,UK,Smooth Sliky Salty,2022-01-19,175,5929.0,GBP,42.0265,249175.11849999998
Madelene Upcott,Australia,Fruit & Nut Bars,2022-01-05,92,5579.0,AUD,21.2763,118700.47769999999
Madelene Upcott,Canada,70% Dark Bites,2022-01-24,141,10927.0,CAD,22.5593,246505.4711
Wilone O'Kielt,Australia,Drinking Coco,2022-04-06,283,623.0,AUD,21.2763,13255.1349
Gunar Cockshoot,Australia,Fruit & Nut Bars,2022-06-15,21,6013.0,AUD,21.2763,127934.39189999999
Gigi Bohling,Canada,Baker's Choco Chips,2022-01-28,47,1505.0,CAD,22.5593,33951.7465
Kelci Walkden,India,Caramel Stuffed Bars,2022-03-16,125,476.0,INR,0.3442,163.8392
Rafaelita Blaksland,Australia,Drinking Coco,2022-02-21,396,11550.0,AUD,21.2763,245741.26499999998
Kelci Walkden,USA,Manuka Honey Choco,2022-02-16,87,17318.0,USD,31.1547,539537.0946
Jehu Rudeforth,Canada,Spicy Special Slims,2022-01-13,27,1848.0,CAD,22.5593,41689.5864
Kelci Walkden,Australia,Eclairs,2022-03-23,547,7273.0,AUD,21.2763,154742.5299
Curtice Advani,Canada,Spicy Special Slims,2022-06-16,118,854.0,CAD,22.5593,19265.642200000002
Oby Sorrel,India,Raspberry Choco,2022-04-14,46,6832.0,INR,0.3442,2351.5744
Kelci Walkden,UK,Eclairs,2022-01-25,57,4606.0,GBP,42.0265,193574.05899999998
Jan Morforth,India,Almond Choco,2022-03-11,22,4466.0,INR,0.3442,1537.1972
